ID,歌名,演唱者,語言,姓別,弘音歌號,金嗓歌號,音圓歌號
1,空等,洪百慧,台,女,,28397,
2,風雨,方怡萍,台,女,,28396,
3,酒歌,黃乙玲,台,女,,"4,857,556,274",42038
4,自在江湖笑,周厚光,台,男,96090,4147,
5,證明,"羅時豐,黃思婷",台,合,,"4,858,556,288",41893
6,冷被單,沈芳如,台,女,,"4,858,656,289","4,195,455,731"
7,男人啊,林俊吉,台,男,,28395,
8,按呢想,七郎,台,男,,48572,8538
9,風塵女,楊靜,台,女,,28394,42146
10,無情兄,黃乙玲,台,女,,"4,858,256,275",41950
11,感情線,黃乙玲,台,女,,"4,858,056,272",41951
12,愛無底,沈芳如,台,女,,"4,858,756,290",
13,心內有數,"辦桌阿傑,王瑞霞",台,合,,"34,414,859,176,385",41576
14,男人的汗,羅時豐,台,男,,48564,41877
15,孤單小鹿,洪百慧,台,女,,28387,
16,春花秋月,黃乙玲,台,女,,"4,857,656,276",41900
17,散場電影,潘氏兄妹,台,女,,28399,
18,無譜的歌,"林昕陽,黃乙玲",台,合,,"4,858,156,273",41894
19,滴滴情淚,沈芳如,台,女,,"4,858,956,292",55923
20,蝴蝶雙飛,"林俊吉,戴梅君",台,合,,28389,41875
21,午夜的戀歌,七郎,台,男,,48573,"4,194,355,010"
22,只愛你一個,"辦桌阿傑,王瑞霞",台,合,,"485,945,628,676,393",44655
23,你咁有塊聽,羅時豐,台,男,,"4,858,456,287",41898
24,失戀的探戈,葉勝欽,台,男,96089,"414,657,336",43677
25,為愛潦落去,"辦桌阿傑,王瑞霞",台,合,,"485,905,628,476,384",41147
26,紅塵一場夢,沈芳如,台,女,,"4,858,856,291",
27,風聲的幸福,黃乙玲,台,女,,"4,857,756,278",
28,浪子的鄉愁,七郎,台,男,86389,"34,502,770,528,400",8276
29,情路情茫茫,林俊吉,台,男,,28401,
30,牽手蓋同被,林俊吉,台,男,,28390,
31,麥做痴情人,"鄭君威,黃乙玲",台,合,,"4,857,956,271",41895
32,愈愛愈悲哀,"辦桌阿傑,王瑞霞",台,合,,"485,925,629,476,386",
33,講乎自己聽,"黃乙玲,林慧萍",台,女,,"4,857,456,270",41863
34,你的味無住址,方怡萍,台,女,,"2,839,129,878",
35,被害者俱樂部,林俊吉,台,男,,28392,
36,想到你心就寒,周育嬋,台,女,,28393,
37,痴情等你一世,汪子琳,台,女,,28402,
38,愛情甘講已經過,黃乙玲,台,女,,"4,858,356,277",42040
39,對你的心嘸是假,"辦桌阿傑,王瑞霞",台,合,,"485,935,628,576,395",
40,庄腳恰有人情味,七郎,台,男,,"36,182,770,628,403",8278
41,Goodbye & Hello,蔡健雅,國,女,,18530,"4,166,950,753"
42,亂,陳寶蓮,國,女,,"1,854,119,849",
43,一半,楊麗菁,國,女,,"1,854,219,897",
44,四季,ALIN,國,女,81671,18528,
45,忘詞,五月天,國,男,,16916,
46,祈禱,黃思婷,國,女,,16907,41864
47,背叛,曹格,國,男,,"3,660,169,221,954,350,000",40959
48,真假,林吉玲,國,女,,"1,854,319,903",
49,距離,林吉玲,國,女,,"1,852,919,882",
50,親親,梁靜茹,國,女,,16919,40838
51,小情歌,蘇打綠,國,男,,"1,691,318,347",40915
52,日不落,蔡依林,國,女,,"1,692,456,283",41638
53,四季風,黃思婷,國,女,,16908,93688
54,左撇子,蘇慧倫,國,女,,18544,
55,我以為,品冠,國,男,,16911,
56,我挺你,北原山貓,國,男,,"121,101,853,119,888",
57,空白格,蔡健雅,國,女,81725,18545,50759
58,旋轉門,蘇慧倫,國,女,82734,18546,50736
59,達爾文,蔡健雅,國,女,81722,18547,50761
60,蝶戀火,楊麗菁,國,女,,"1,853,219,909",
